product,rating,price,product url
"Bluetooth Headphones Over Ear,BERIBES 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone,HiFi Stereo Foldable Lightweight Headset, Deep Bass for Home Office Cellphone PC Etc.(Green) ",4.5 out of 5 stars,2152,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A054851411AGAS8R26N5&qualifier=1683038460&id=2017801929764328&widgetName=sp_atf_next&url=%2FBluetooth-Headphones-BERIBES-Microphone-Lightweight%2Fdp%2FB0BV9F196L%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dairdopes%26qid%3D1683038460%26sr%3D8-49-spons%26psc%3D1
"Wireless Earbuds, Bluetooth 5.2 Earbuds 40H Playtime with LED Power Display Charging Case, Ear Buds IPX7 Waterproof Built-in Microphone, Earbuds Wireless Bluetooth for iOS/Android ",4.8 out of 5 stars,1986,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0404701U7J8PBDW6ABB&qualifier=1683038460&id=2017801929764328&widgetName=sp_atf_next&url=%2FWireless-Bluetooth-Playtime-Waterproof-Microphone%2Fdp%2FB0C3LKNWTH%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dairdopes%26qid%3D1683038460%26sr%3D8-50-spons%26psc%3D1%26smid%3DA8Q8S5OC4G8VH
"PHILIPS ActionFit ST702 True Wireless Bluetooth Earbuds, TWS, Noise Isolation, Lightweight, Stereo with IPX5 Splash Resistance and UV Cleaning Charging case - Black (TAST702BK) ",3.0 out of 5 stars,9517,https://amazon.com/Philips-ActionFit-ST702-Lightweight-Resistance/dp/B083RZQRXN/ref=sr_1_51?keywords=airdopes&qid=1683038460&sr=8-51
occiam Wireless Earbuds Bluetooth Headphones 48H Play Back Earphones in Ear Waterproof with Microphone LED Display for Sports Running Workout Black ,4.3 out of 5 stars,2400,https://amazon.com/Bluetooth-Headphones-True-Waterproof-Microphone-Workout-Black/dp/B08H1WNYTR/ref=sr_1_52?keywords=airdopes&qid=1683038460&sr=8-52
"Tribit 2021 Wireless Earbuds, Qualcomm QCC3040 50H Playtime 4 Mics CVC 8.0 Noise Reduction Bluetooth 5.2 Clear Calls Volume Control True Wireless Earbuds Bluetooth Earphones, Flybuds C1 ",4.0 out of 5 stars,4883,https://amazon.com/Wireless-Tribit-Bluetooth-Reduction-Earphones/dp/B08QZGH5PC/ref=sr_1_53?keywords=airdopes&qid=1683038460&sr=8-53
"ZTOZ Wireless Earbuds Bluetooth 5.0 Headphones with Immersive Bass Sound, Mini Charging Case, Waterproof Earphones for Sport/Work, Headsets Compatible with iPhone/Android/PC, (White) ",3.6 out of 5 stars,1324,https://amazon.com/ZTOZ-Bluetooth-Headphones-Waterproof-Compatible/dp/B0BH4VZKQ5/ref=sr_1_54?keywords=airdopes&qid=1683038460&sr=8-54
"Skullcandy Indy Evo True Wireless In-Ear Bluetooth Earbuds, Compatible with iPhone and Android / Charging Case and Microphone / Great for Gym, Sports, and Gaming, IP55 Water Dust Resistant - Red ",4.0 out of 5 stars,2814,https://amazon.com/Skullcandy-Indy-True-Wireless-Earbud/dp/B0857JQFYP/ref=sr_1_55?keywords=airdopes&qid=1683038460&sr=8-55
"ZIZVAV Wireless Bluetooth 5.3 Earbuds Compatible with iPhone & Android, Deep Bass Noise Cancelling Headphones with 4 Mic,27H Playtime,IPX5 Sweat Resistant,HiFi Stereo Sound in-Ear Blue Tooth Earphones ",4.4 out of 5 stars,2400,https://amazon.com/ZIZVAV-Bluetooth-Compatible-Cancelling-Headphones/dp/B0BR7657ZY/ref=sr_1_56?keywords=airdopes&qid=1683038460&sr=8-56
"yobola Wireless Earbuds, Bluetoth Earbuds, IPX5 Waterproof Wireless Headphones Touch Control, Bluetoth Headphones 5.1 Built-in Microphone, 25 Hrs with USB-C Charging with Running/Fitness ",4.3 out of 5 stars,2069,https://amazon.com/yobola-Bluetooth-Waterproof-Headphones-Microphone/dp/B09LCXCK88/ref=sr_1_57?keywords=airdopes&qid=1683038460&sr=8-57
"Wireless Earbuds, Bluetooth Headphones with Microphone, IPX7 Waterproof, 35H Playtime, High-Fidelity Stereo Earphones,Compatible with Apple/iOS/Android,for Running/Fitness/Work - Pink ",3.9 out of 5 stars,662,https://amazon.com/Headphones-Microphone-Waterproof-High-Fidelity-Compatible/dp/B0BKZRQCQ2/ref=sr_1_58?keywords=airdopes&qid=1683038460&sr=8-58
