Product Name,Price,Rating,link
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",1099,4.1,https://www.flipkart.com/boat-airdopes-161-asap-charge-10mm-drivers-17-hours-playback-bluetooth-headset/product-reviews/itm8a7493150ae4a?pid=ACCG6DS7WDJHGWSH&lid=LSTACCG6DS7WDJHGWSH4INU8G&marketplace=FLIPKART&q=airdopes&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&spotlightTagId=BestsellerId_0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=02695699-2265-4f80-88fe-8c148a807938.ACCG6DS7WDJHGWSH.SEARCH&ppt=None&ppn=None&ssid=p2r20ngd6o0000001683038463392&qH=98db617f57fac13f
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",1099,4.1,https://www.flipkart.com/boat-airdopes-161-asap-charge-10mm-drivers-17-20-hours-playback-bluetooth-headset/product-reviews/itm44896573d8f03?pid=ACCG6DS7Z2Z8SEAF&lid=LSTACCG6DS7Z2Z8SEAFNUOPJZ&marketplace=FLIPKART&q=airdopes&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=02695699-2265-4f80-88fe-8c148a807938.ACCG6DS7Z2Z8SEAF.SEARCH&ppt=None&ppn=None&ssid=p2r20ngd6o0000001683038463392&qH=98db617f57fac13f
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",1199,4.1,https://www.flipkart.com/boat-airdopes-131-pro-11mm-drivers-45hrs-playback-asap-charge-quad-mic-enx-bluetooth-headset/product-reviews/itmb8dea5750714c?pid=ACCGDQMA9QHE6D5C&lid=LSTACCGDQMA9QHE6D5CDPMA74&marketplace=FLIPKART&q=airdopes&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=02695699-2265-4f80-88fe-8c148a807938.ACCGDQMA9QHE6D5C.SEARCH&ppt=None&ppn=None&ssid=p2r20ngd6o0000001683038463392&qH=98db617f57fac13f
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",1099,4.1,https://www.flipkart.com/boat-airdopes-161-asap-charge-10mm-drivers-17-hours-playback-bluetooth-headset/product-reviews/itm0611c83d26e85?pid=ACCG6DS9ZH2ECDBG&lid=LSTACCG6DS9ZH2ECDBGK3UNEL&marketplace=FLIPKART&q=airdopes&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=02695699-2265-4f80-88fe-8c148a807938.ACCG6DS9ZH2ECDBG.SEARCH&ppt=None&ppn=None&ssid=p2r20ngd6o0000001683038463392&qH=98db617f57fac13f
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",1199,4.1,https://www.flipkart.com/boat-airdopes-131-pro-11mm-drivers-45hrs-playback-asap-charge-quad-mic-enx-bluetooth-headset/product-reviews/itm73124ae3e46b1?pid=ACCGDQMA2GDTZHWR&lid=LSTACCGDQMA2GDTZHWR12YWMJ&marketplace=FLIPKART&q=airdopes&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=02695699-2265-4f80-88fe-8c148a807938.ACCGDQMA2GDTZHWR.SEARCH&ppt=None&ppn=None&ssid=p2r20ngd6o0000001683038463392&qH=98db617f57fac13f
boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,1299,4.1,https://www.flipkart.com/boat-airdopes-131-upto-60-hours-asap-charge-bluetooth-headset/product-reviews/itmf76c6f983fbca?pid=ACCFSDGXX3S6DVBG&lid=LSTACCFSDGXX3S6DVBGDAFDIO&marketplace=FLIPKART&q=airdopes&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&spotlightTagId=BestsellerId_0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=02695699-2265-4f80-88fe-8c148a807938.ACCFSDGXX3S6DVBG.SEARCH&ppt=None&ppn=None&ssid=p2r20ngd6o0000001683038463392&qH=98db617f57fac13f
boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,1299,4.1,https://www.flipkart.com/boat-airdopes-131-upto-60-hours-asap-charge-bluetooth-headset/product-reviews/itmf77ad6e8eecf1?pid=ACCFSDGX68PUKJYE&lid=LSTACCFSDGX68PUKJYEZ2TOCP&marketplace=FLIPKART&q=airdopes&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&spotlightTagId=BestsellerId_0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=02695699-2265-4f80-88fe-8c148a807938.ACCFSDGX68PUKJYE.SEARCH&ppt=None&ppn=None&ssid=p2r20ngd6o0000001683038463392&qH=98db617f57fac13f
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",1199,4.1,https://www.flipkart.com/boat-airdopes-131-pro-11mm-drivers-45hrs-playback-asap-charge-quad-mic-enx-bluetooth-headset/product-reviews/itm930b9c19d6c16?pid=ACCGDQMAEC8ZCB5Z&lid=LSTACCGDQMAEC8ZCB5ZP5Q9VR&marketplace=FLIPKART&q=airdopes&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=02695699-2265-4f80-88fe-8c148a807938.ACCGDQMAEC8ZCB5Z.SEARCH&ppt=None&ppn=None&ssid=p2r20ngd6o0000001683038463392&qH=98db617f57fac13f
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",1199,4.1,https://www.flipkart.com/boat-airdopes-131-pro-11mm-drivers-45hrs-playback-asap-charge-quad-mic-enx-bluetooth-headset/product-reviews/itmcc69b0a798a50?pid=ACCGDQMAAJAZBZ43&lid=LSTACCGDQMAAJAZBZ43IX9D6F&marketplace=FLIPKART&q=airdopes&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&spotlightTagId=FkPickId_0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=02695699-2265-4f80-88fe-8c148a807938.ACCGDQMAAJAZBZ43.SEARCH&ppt=None&ppn=None&ssid=p2r20ngd6o0000001683038463392&qH=98db617f57fac13f
boAt Airdopes 163 Bluetooth Headset,1399,4.1,https://www.flipkart.com/boat-airdopes-163-bluetooth-headset/product-reviews/itm56d495a5b6dc7?pid=ACCGHTHQTQMGZYPC&lid=LSTACCGHTHQTQMGZYPCWE96LC&marketplace=FLIPKART&q=airdopes&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=02695699-2265-4f80-88fe-8c148a807938.ACCGHTHQTQMGZYPC.SEARCH&ppt=None&ppn=None&ssid=p2r20ngd6o0000001683038463392&qH=98db617f57fac13f
