product,rating,price,product url
Wireless Earbuds 4 Mic Clear Call Bluetooth Headphones with Wireless Charging Case 60H PlayBack Over Ear Earphones Bass Stereo in Ear Buds LED Display Waterproof Earhooks for Sport Running Workout Gym  ,4.8 out of 5 stars,1572,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A01515482PTLBPJG1472B&url=%2FWireless-Bluetooth-Headphones-Earphones-Waterproof%2Fdp%2FB0C1B774YQ%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dairpods%26qid%3D1683276261%26sr%3D8-50-spons%26psc%3D1&qualifier=1683276261&id=4962786199067335&widgetName=sp_atf_next
Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White)  ,3.4 out of 5 stars,1324,https://amazon.com/Wireless-Bluetooth-Headphones-Waterproof-Earphones/dp/B0BNX8Y6NT/ref=sr_1_51?keywords=airpods&qid=1683276261&sr=8-51
"Togetface Bluetooth Kids Earbuds, Pink Wireless Earbuds for Girls and School Classroom Earpods Small Ears Headphone Earphones Airpods in-Ear Headset  ",4.2 out of 5 stars,3228,https://amazon.com/Bluetooth-Wireless-Headphones-Waterproof-Earphones/dp/B09K3JHMRJ/ref=sr_1_52?keywords=airpods&qid=1683276261&sr=8-52
OMK Wireless Earbuds Bluetooth Earbuds Wireless Headphones Waterproof Headset Noise Cancelling Earphones Long Battery Bluetooth Headphones with Wireless Charging Case for iPhone Android (White)  ,4.4 out of 5 stars,2979,https://amazon.com/OMK-Bluetooth-Headphones-Waterproof-Cancelling/dp/B0BHYB79FF/ref=sr_1_53?keywords=airpods&qid=1683276261&sr=8-53
"Skullcandy Jib True 2 Wireless Bluetooth Earbuds for iPhone and Android with Microphone / 33 Hour Battery / Charging Case / Great for Gym, Sports, and Gaming / IPX4 Water/Dust Resistant - Black  ",4.3 out of 5 stars,2317,https://amazon.com/Skullcandy-True-Wireless-Ear-Earbuds/dp/B09VM2TBZF/ref=sr_1_54?keywords=airpods&qid=1683276261&sr=8-54
"AIHOOR Wireless Earbuds for iOS & Android Phones, Bluetooth 5.3 in-Ear Headphones with Extra Bass, Built-in Mic, Touch Control, USB Charging Case, 30hr Battery Earphones, Waterproof for Sport  ",4.2 out of 5 stars,2152,https://amazon.com/AIHOOR-Bluetooth-Headphones-Earphones-Waterproof/dp/B094FCKZ5J/ref=sr_1_55?keywords=airpods&qid=1683276261&sr=8-55
"Wireless Earbuds Bluetooth Earbuds 60H Playtime LED Power Display Charging Case Bluetooth 5.3 Headphone with Noise Cancellation Mic, Stereo Sound, IPX5 Ear Buds for iPhone/Samsung/Android/iOS  ",4.8 out of 5 stars,1821,https://amazon.com/Wireless-Bluetooth-Playtime-Headphone-Cancellation/dp/B0BYS4HWM1/ref=sr_1_57?keywords=airpods&qid=1683276261&sr=8-57
Raycon The Everyday Bluetooth Wireless Earbuds with Microphone- Stereo Sound in-Ear Bluetooth Headset True Wireless Earbuds 32 Hours Playtime (Matte Black)  ,4.4 out of 5 stars,6538,https://amazon.com/Everyday-Raycon-Bluetooth-Wireless-Microphone/dp/B095T14D4S/ref=sr_1_58?keywords=airpods&qid=1683276261&sr=8-58
GNMN Bluetooth Headphones Wireless Earbuds 48hrs Playback IPX7 Waterproof Earphones Over-Ear Stereo Bass Headset with Earhooks Microphone LED Battery Display for Sports/Workout/Gym Black  ,4.8 out of 5 stars,2400,https://amazon.com/GNMN-Bluetooth-Headphones-Waterproof-Microphone/dp/B0BW8DLLKP/ref=sr_1_59?keywords=airpods&qid=1683276261&sr=8-59
"JLab Go Air Pop True Wireless Bluetooth Earbuds + Charging Case | Teal | Dual Connect | IPX4 Sweat Resistance | Bluetooth 5.1 Connection | 3 EQ Sound Settings Signature, Balanced, Bass Boost  ",4.4 out of 5 stars,1986,https://amazon.com/JLab-Wireless-Bluetooth-Resistance-Connection/dp/B09HN4DHFL/ref=sr_1_60?keywords=airpods&qid=1683276261&sr=8-60
Wireless Earbuds Bluetooth Headphones with Wireless Charging Case 32H Playback LED Display in Ear Earphones Waterproof Ear buds Built in Mic Stereo Bass for iPhone Samsung Android Sport Workout Gym TV  ,5.0 out of 5 stars,4055,https://amazon.com/Wireless-Bluetooth-Headphones-Earphones-Waterproof/dp/B0C3BL53ML/ref=sr_1_61?keywords=airpods&qid=1683276261&sr=8-61
