Product Name,Price,Rating,link
Apple AirPods(2nd gen) with Charging Case Bluetooth Hea...,9999,4.5,https://www.flipkart.com/apple-airpods-2nd-gen-charging-case-bluetooth-headset-mic/product-reviews/itm8f1b2b0173ce4?pid=ACCFF2R85H8YG4WH&lid=LSTACCFF2R85H8YG4WHVYNGWK&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&spotlightTagId=BestsellerId_0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=bb9792fa-9360-436e-8fa6-f590cab17c83.ACCFF2R85H8YG4WH.SEARCH&ppt=None&ppn=None&ssid=xu5fgp8pc00000001683276262857&qH=b138a01d28163f61
APPLE Airpods Pro with MagSafe Charging Case Bluetooth ...,15990,4.5,https://www.flipkart.com/apple-airpods-pro-magsafe-charging-case-bluetooth-headset/product-reviews/itm0847811966368?pid=ACCG7XG5ZQ47ZHFR&lid=LSTACCG7XG5ZQ47ZHFRGTXJL1&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=bb9792fa-9360-436e-8fa6-f590cab17c83.ACCG7XG5ZQ47ZHFR.SEARCH&ppt=None&ppn=None&ssid=xu5fgp8pc00000001683276262857&qH=b138a01d28163f61
APPLE Airpods (3rd Generation) with Lightning Charging ...,16900,4.5,https://www.flipkart.com/apple-airpods-3rd-generation-lightning-charging-case-bluetooth-headset/product-reviews/itm7f946b906e294?pid=ACCGHWZNT3JYKUCX&lid=LSTACCGHWZNT3JYKUCXUPBBZN&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=bb9792fa-9360-436e-8fa6-f590cab17c83.ACCGHWZNT3JYKUCX.SEARCH&ppt=None&ppn=None&ssid=xu5fgp8pc00000001683276262857&qH=b138a01d28163f61
APPLE Airpods Pro 2nd Generation Bluetooth Headset,25000,4.5,https://www.flipkart.com/apple-airpods-pro-2nd-generation-bluetooth-headset/product-reviews/itmbfc083335b35c?pid=ACCGHWWGAAZDXNR2&lid=LSTACCGHWWGAAZDXNR2RMRPVQ&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=bb9792fa-9360-436e-8fa6-f590cab17c83.ACCGHWWGAAZDXNR2.SEARCH&ppt=None&ppn=None&ssid=xu5fgp8pc00000001683276262857&qH=b138a01d28163f61
APPLE Airpods (3rd Generation) with Magsafe Charging Ca...,17900,4.5,https://www.flipkart.com/apple-airpods-3rd-generation-magsafe-charging-case-bluetooth-headset/product-reviews/itm6ffae700b8445?pid=ACCG7XA99NB9RYG9&lid=LSTACCG7XA99NB9RYG9RLYV4Y&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=bb9792fa-9360-436e-8fa6-f590cab17c83.ACCG7XA99NB9RYG9.SEARCH&ppt=None&ppn=None&ssid=xu5fgp8pc00000001683276262857&qH=b138a01d28163f61
Apple AirPods with Wireless Charging Case Bluetooth Hea...,13990,4.5,https://www.flipkart.com/apple-airpods-wireless-charging-case-bluetooth-headset-mic/product-reviews/itm5fa1be121ee8d?pid=ACCFF2R8GZUZ6YH5&lid=LSTACCFF2R8GZUZ6YH5DXAOOF&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=bb9792fa-9360-436e-8fa6-f590cab17c83.ACCFF2R8GZUZ6YH5.SEARCH&ppt=None&ppn=None&ssid=xu5fgp8pc00000001683276262857&qH=b138a01d28163f61
Chitransh i12 Bluetooth Headset,386,4.5,https://www.flipkart.com/chitransh-i12-bluetooth-headset/product-reviews/itm40ca63f10524d?pid=ACCGNE52SAF3BUFT&lid=LSTACCGNE52SAF3BUFTRQIRY4&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&spotlightTagId=FkPickId_0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=bb9792fa-9360-436e-8fa6-f590cab17c83.ACCGNE52SAF3BUFT.SEARCH&ppt=None&ppn=None&ssid=xu5fgp8pc00000001683276262857&qH=b138a01d28163f61
Fome M10 TWS Bluetooth Earbuds Wireless Earbuds Bluetoo...,480,4.5,https://www.flipkart.com/fome-m10-tws-bluetooth-earbuds-wireless-headset-power-bank/product-reviews/itme5e439fe07a15?pid=ACCGZ3V3JGJUUHW3&lid=LSTACCGZ3V3JGJUUHW3VDACBF&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=bb9792fa-9360-436e-8fa6-f590cab17c83.ACCGZ3V3JGJUUHW3.SEARCH&ppt=None&ppn=None&ssid=xu5fgp8pc00000001683276262857&qH=b138a01d28163f61
Fome M10 Bluetooth 5.1 Wireless Earbuds Touch Waterproo...,480,4.5,https://www.flipkart.com/fome-m10-bluetooth-5-1-wireless-earbuds-touch-waterproof-ip7x-led-digital-display-headset/product-reviews/itm86800a6ddf539?pid=ACCGZETGRKCG7SH6&lid=LSTACCGZETGRKCG7SH62AAUUH&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=bb9792fa-9360-436e-8fa6-f590cab17c83.ACCGZETGRKCG7SH6.SEARCH&ppt=None&ppn=None&ssid=xu5fgp8pc00000001683276262857&qH=b138a01d28163f61
"Fushion Earbud White, With (Wireless Charging Case) Blu...",549,4.5,https://www.flipkart.com/fushion-earbud-white-wireless-charging-case-bluetooth-headset/product-reviews/itmc1fb6ca5a6137?pid=ACCGZDRJGJY48UXD&lid=LSTACCGZDRJGJY48UXDVH4OYK&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=bb9792fa-9360-436e-8fa6-f590cab17c83.ACCGZDRJGJY48UXD.SEARCH&ppt=None&ppn=None&ssid=xu5fgp8pc00000001683276262857&qH=b138a01d28163f61
