Product Name,Price,Rating
Snickers Value Pack Peanut Filled Chocolates Bars (540g...,432,4.2
SNICKERS Duos Peanut Filled Chocolate Bars,703,4.2
Cadbury Dairy Milk Silk Fruit and Nut Chocolate Bars,446,4.2
GALAXY Smooth Milk Chocolate Bars,272,4.2
Cadbury Dairy Milk Silk Oreo Chocolate Bars,472,4.2
Cadbury Dairy Milk Silk Roast Almond Chocolate Bars,446,4.2
Cadbury Dairy Milk Silk Chocolate Bars,418,4.2
SNICKERS Family Treats Bars,506,4.2
FERRERO ROCHER Moments Truffles,332,4.2
Cadbury Dairy Milk Roast Almond Chocolate Bars,513,4.2
Cadbury Bournville Cranberry Dark Chocolate Bars,445,4.2
SNICKERS Almond Filled Chocolate Bars,561,4.2
Cadbury Bournville Dark Chocolate Bar with Fruit & Nut ...,356,4.2
Cadbury Dairy Milk Crackle Chocolate Bars,427,4.2
Cadbury Dairy Milk Silk Roast Almond Bars,472,4.2
BOUNTY Chocolate 57g (pack of 12) Bars,648,4.2
Kinder JOY Milk Fudges,353,4.2
FERRERO ROCHER Truffles,503,4.2
Cadbury Celebrations Premium Selection Assorted Gift Pa...,274,4.2
SNICKERS Home Pack Pouch Bars,423,4.2
Kinder JOY for Boys Milk Chocolate Fudges,707,4.2
Cadbury Dairy Milk Silk Bubbly Chocolate Bars,446,4.2
Cadbury Dairy Milk Mahapack Bars,540,4.2
VTC Pure Gem s - Colourful Chocolate Buttons - Chocolat...,216,4.2
Cadbury Dairy Milk Fruit and Nut Chocolate Bar Bars,513,4.2
Cadbury Celebrations Assorted Gift Pack Bars,149,4.2
Cadbury Temptation Almond Treat Chocolate Bars,531,4.2
toblerone Swiss Dark Chocolate With Honey & Almond Noug...,209,4.2
Cadbury Dairy Milk Silk Mousse Chocolate Bars,446,4.2
Cadbury Dairy Milk Silk Pralines Classic and Dark Bars,365,4.2
Cadbury Crispello Chocolate Bar Brittles,400,4.2
Aadvik Camel Milk Chocolate Sugar-Free 100% Natural Bar...,296,4.2
"Cadbury Celebration Premium Selection, Assorted Chocola...",198,4.2
GALAXY Milk Chocolate with Cookie Crumble Bars,281,4.2
SNICKERS Peanut Chocolate Bars,432,4.2
Cookieman Happy Birthday Chocolate Gift Box Moulded Cho...,329,4.2
Kinder JOY for Girls Milk Chocolate Fudges,707,4.2
Cadbury Milk Silk Roast Almond Chocolate Bars,1189,4.2
Cadbury Fuse Chocolate Bars,467,4.2
Cadbury Dairy Milk Bites - Hazelnut Brittles,382,4.2
