product,rating,price,product url
Elitech Digital Temperature Humidity Data Logger Medical Refrigerator Thermometer Vaccine Fridge Temperature Monitor Max Min Value GSP-6G  ,4.2 out of 5 stars,3645,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A007633732NYGUST9TIC5&qualifier=1669578315&id=4443158540539685&widgetName=sp_atf_next&url=%2FElitech-Temperature-Humidity-Recorder-External%2Fdp%2FB084X1DB38%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dfridge%26qid%3D1669578315%26sr%3D8-49-spons%26psc%3D1
"Smad Compact Mini Fridge Quiet No Noise Absorption Refrigerator with Lock 40L 1.4 cu.ft, Black  ",3.5 out of 5 stars,29079,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A03394141E4F6VT2L1RUZ&qualifier=1669578315&id=4443158540539685&widgetName=sp_atf_next&url=%2FCompact-Fridge-Quiet-Noise-Refrigerator%2Fdp%2FB01MRPM7MK%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dfridge%26qid%3D1669578315%26sr%3D8-50-spons%26psc%3D1
"Exqulife Mini Fridge for Bedroom,8L AC/DC Thermometric Cool and Warm Small Refrigerator,Personal Portable Skincare Fridge for Office,Car,Dorm,Foods,Beverage,Skin Care,Breast Milk,25dB,White  ",3.7 out of 5 stars,3483,https://amazon.com/Exqulife-Thermometric-Refrigerator-Personal-Portable/dp/B0B2F6KNLW/ref=sr_1_51?keywords=fridge&qid=1669578315&sr=8-51
"Cegsin Mini Fridge for Bedroom, 7 Liter AC/DC Portable Beauty Fridge Thermoelectric Cooler and Warmer, Quiet Compact Fridge For Skincare, Beverage, Food, Cosmetics, Home, Office and Car (White)  ",4.3 out of 5 stars,4455,https://amazon.com/Cegsin-Portable-Thermoelectric-Skincare-Cosmetics/dp/B09XF8YRPB/ref=sr_1_52?keywords=fridge&qid=1669578315&sr=8-52
"CURTIS EFMIS129-RED Frigidaire Retro Mini Compact Beverage Refrigerator, for Keeping Office Lunch Cool (RED)  ",4.0 out of 5 stars,2349,https://amazon.com/Frigidaire-Compact-Beverage-Refrigerator-keeping/dp/B07K6XBPPL/ref=sr_1_53?keywords=fridge&qid=1669578315&sr=8-53
"QUBI Mini Fridge, Professional Skincare Fridge, Mini Cosmetics Makeup Fridge, Compact Fridge 5 Liter (Cream White, 5L)  ",4.5 out of 5 stars,8424,https://amazon.com/QUBI-Professional-Skincare-Cosmetics-Compact/dp/B08G4RK3N9/ref=sr_1_54?keywords=fridge&qid=1669578315&sr=8-54
"Frigidaire EFMIS171-BLACK 6+1 Retro Mini Portable Personal Fridge/Cooler for Home, Office or Dorm with Active Cooling Can Holder on Top, Black, standard  ",4.3 out of 5 stars,3969,https://amazon.com/Frigidaire-EFMIS171-BLACK-Portable-Personal-Cooling/dp/B093213246/ref=sr_1_56?keywords=fridge&qid=1669578315&sr=8-56
"BLACK+DECKER BCRK17W Compact Refrigerator Energy Star Single Door Mini Fridge with Freezer, 1.7 Cubic Ft., White  ",4.5 out of 5 stars,12069,https://amazon.com/BLACK-DECKER-BCRK17W-Compact-Refrigerator/dp/B01DZQI7B4/ref=sr_1_57?keywords=fridge&qid=1669578315&sr=8-57
"Aidek Cosmetic Mini Fridge for Skin Care/Makeup, 4L Portable Beauty Fridges for Bedroom, Dorm, Office, Small Refrigerator with Cool & Heat, AC/DC12v Car Cooler for Desktop and Travel (Pearl Black)  ",4.8 out of 5 stars,3807,https://amazon.com/Aidek-Cosmetic-Portable-Personal-Refrigerator/dp/B0B9Y4NK4Y/ref=sr_1_58?keywords=fridge&qid=1669578315&sr=8-58
"Homieasy End Table with Charging Station, 20 Inch Square Side Table with USB Ports & Power Outlets, Grey Nightstand with 2-Tier Storage Shelf, Mini Fridge Stand for Small Spaces, Black Oak - 2 Pack  ",4.8 out of 5 stars,9639,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A00734382Y8ZBPKF11ZGU&qualifier=1669578315&id=4443158540539685&widgetName=sp_mtf&url=%2FHomieasy-Charging-Station-Outlets-Nightstand%2Fdp%2FB0BDL424XH%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dfridge%26qid%3D1669578315%26sr%3D8-59-spons%26psc%3D1
