product,rating,price,product url
"Frigidaire PureSource Ultra Water and Ice Refrigerator Filter, Original, White, 1 Count  ",4.7 out of 5 stars,3726,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0336154103N5AWP92WH4&qualifier=1669567936&id=7795436064789825&widgetName=sp_atf_next&url=%2FFrigidaire-FBA_ULTRAWF-Filter-inches-White%2Fdp%2FB002JAKRAM%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Drefrigerator%26qid%3D1669567936%26sr%3D8-49-spons%26psc%3D1
"GE MWF Refrigerator Water Filter | Certified to Reduce Lead, Sulfur, and 50+ Other Impurities | Replace Every 6 Months for Best Results | Pack of 1  ",4.7 out of 5 stars,3969,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A08662781Y6VVYEU6EN0V&qualifier=1669567936&id=7795436064789825&widgetName=sp_atf_next&url=%2FGeneral-Electric-MWF-Refrigerator-Filter%2Fdp%2FB000AST3AK%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Drefrigerator%26qid%3D1669567936%26sr%3D8-50-spons%26psc%3D1
"Cooluli Skincare Mini Fridge for Bedroom - Car, Office Desk & Dorm Room - Portable 4L/6 Can Electric Plug In Cooler & Warmer for Food, Drinks, Beauty & Makeup - 12v AC/DC & Exclusive USB Option, Pink  ",4.5 out of 5 stars,3969,https://amazon.com/Cooluli-Fridge-Electric-Cooler-Warmer/dp/B01G7IL51Q/ref=sr_1_51?keywords=refrigerator&qid=1669567936&sr=8-51
"IKER 12 Liter Mini Fridge for Skin Care, Makeup Fridge for Skincare& Cosmetics, Portable Beauty Fridge Suitable for Women & Girls (Sugar White)  ",4.2 out of 5 stars,10287,https://amazon.com/IKER-Skincare-Cosmetics-Portable-Suitable/dp/B09125PNC3/ref=sr_1_52?keywords=refrigerator&qid=1669567936&sr=8-52
5304511738 3.5w Refrigerator Light Bulb for Frigidaire Electrolux 5304511738 PS12364857 AP6278388-2 Pack  ,4.6 out of 5 stars,1296,https://amazon.com/5304511738-Refrigerator-Frigidaire-Electrolux-AP6278388-2/dp/B09W29RSCK/ref=sr_1_53?keywords=refrigerator&qid=1669567936&sr=8-53
EMIHO DA41-00676J Refrigerator LED Light Compatible with Samsung Refrigerator AP6000168 PS11732779 EAP11732779  ,1.0 out of 5 stars,1539,https://amazon.com/EMIHO-DA41-00676J-Refrigerator-Compatible-EAP11732779/dp/B0BDRKDDGW/ref=sr_1_54?keywords=refrigerator&qid=1669567936&sr=8-54
"Living Enrichment Mini Fridge, Compact Personal Fridge Cooler 6L Capacity, AC 100-120V Mini Fridge for Bedroom Home Office, Perfect for Skincare Beauty Makeup and Food Drinks - Black  ",4.2 out of 5 stars,5346,https://amazon.com/enrichment-Portable-Refrigerator-100-120V-Cosmetics/dp/B09W9KD6JV/ref=sr_1_55?keywords=refrigerator&qid=1669567936&sr=8-55
"5304511738 LED Refrigerator Light Bulb for Frigidaire Crosley Ken more Refrigerator, 3.5W KEI D34L Refrigerator Bulb Replace PS12364857 AP6278388 (110V - 240V White Light) - 2 Pack  ",3.9 out of 5 stars,1134,https://amazon.com/5304511738-Refrigerator-Bulb-Frigidaire-PS12364857/dp/B0BG2H8M3N/ref=sr_1_56?keywords=refrigerator&qid=1669567936&sr=8-56
"15 Liter Mini Fridge for Bedroom, 110V AC/ 12V DC Portable Thermoelectric Cooler and Warmer Small Refrigerators for Home, Dorm, Office and Car, Skincare, Cosmetic, Beverage, Removable shelf, Low Noise  ",5.0 out of 5 stars,8019,https://amazon.com/Portable-Thermoelectric-Refrigerators-Skincare-Removable/dp/B0BCFDZWPN/ref=sr_1_58?keywords=refrigerator&qid=1669567936&sr=8-58
"Frigidaire FRIGCOMBO ULTRAWF Water Filter & PAULTRA Air Filter Combo Pack, 2 Piece Set  ",4.7 out of 5 stars,4050,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A078405915K9QSC4HF2JO&qualifier=1669567936&id=7795436064789825&widgetName=sp_mtf&url=%2FFrigidaire-FRIGCOMBO-ULTRAWF-Filter-PAULTRA%2Fdp%2FB07GG9RJBS%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Drefrigerator%26qid%3D1669567936%26sr%3D8-59-spons%26psc%3D1
