product,rating,price,product url
AX BOXING Mens Casual Shoes Fashion Sneakers Breathable Comfort Walking Shoes for Male  ,4.3 out of 5 stars,3393,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0646057KFB2OBGOK9GD&qualifier=1680319478&id=2577585817442842&widgetName=sp_atf_next&url=%2FAX-BOXING-Sneakers-Breathable-Numeric_10%2Fdp%2FB0B64THNCC%2Fref%3Dsr_1_145_sspa%3Fkeywords%3Dshoe%26qid%3D1680319478%26sr%3D8-145-spons%26psc%3D1
LCGJR Men's Running Shoes Ultra Lightweight Breathable Comfortable Walking Shoes Casual Fashion Sneakers Mesh Workout Shoes  ,4.2 out of 5 stars,2483,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0635509118RC6906Q4XT&qualifier=1680319478&id=2577585817442842&widgetName=sp_atf_next&url=%2FLCGJR-Lightweight-Breathable-Comfortable-Sneakers%2Fdp%2FB09G9YX9VZ%2Fref%3Dsr_1_146_sspa%3Fkeywords%3Dshoe%26qid%3D1680319478%26sr%3D8-146-spons%26psc%3D1
GOOBON Air Shoes for Men Tennis Sports Athletic Workout Gym Running Sneakers Size 7-12.5  ,4.3 out of 5 stars,3476,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A05613382MS3L6Y3WT4VG&qualifier=1680319478&id=2577585817442842&widgetName=sp_atf_next&url=%2FGOOBON-Athletic-Workout-Running-Sneakers%2Fdp%2FB09HTWYYX2%2Fref%3Dsr_1_147_sspa%3Fkeywords%3Dshoe%26qid%3D1680319478%26sr%3D8-147-spons%26psc%3D1
Arkbird Oxford Dress Shoes for Men Men's Fashion Casual and Formal Leather Shoes for Business and Everyday  ,4.3 out of 5 stars,4883,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0847710120ZEY70Y3W5H&qualifier=1680319478&id=2577585817442842&widgetName=sp_atf_next&url=%2FGenuine-Leather-Casual-Sneaker-Walking%2Fdp%2FB09R4RHG3V%2Fref%3Dsr_1_148_sspa%3Fkeywords%3Dshoe%26qid%3D1680319478%26sr%3D8-148-spons%26psc%3D1
Cole Haan Men's Nantucket 2.0 Lace Up Sneaker  ,4.5 out of 5 stars,5793,https://amazon.com/Cole-Haan-Nantucket-Sneaker-British/dp/B08DFLNMNT/ref=sr_1_149?keywords=shoe&qid=1680319478&sr=8-149
New Balance Women's Fresh Foam Arishi V3 Classic Running Shoe  ,4.4 out of 5 stars,4717,https://amazon.com/New-Balance-Running-Timberwolf-Whisper/dp/B08PCDCBC2/ref=sr_1_150?keywords=shoe&qid=1680319478&sr=8-150
Reebok Women's Princess Sneaker  ,4.4 out of 5 stars,2979,https://amazon.com/Reebok-Womens-Princess-Walking-Black/dp/B06XWFVT5F/ref=sr_1_151?keywords=shoe&qid=1680319478&sr=8-151
Brooks Women's Ghost 14 Neutral Running Shoe  ,4.7 out of 5 stars,8193,https://amazon.com/Brooks-Ghost-Peacoat-Yucca-Navy/dp/B08QV4NBPW/ref=sr_1_152?keywords=shoe&qid=1680319478&sr=8-152
adidas Women's Duramo 10 Running Shoe  ,4.4 out of 5 stars,4552,https://amazon.com/adidas-Womens-Duramo-Black-Magenta/dp/B09F1C6H95/ref=sr_1_153?keywords=shoe&qid=1680319478&sr=8-153
Dynadans Women's Leather Upper Slip-on Jazz Shoe  ,4.5 out of 5 stars,1572,https://amazon.com/Dynadans-Womens-Leather-Upper-8-5M/dp/B07CCB3D2G/ref=sr_1_154?keywords=shoe&qid=1680319478&sr=8-154
