product,title,rating,body
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),"Great, but….",4.0,These worked really well but the magnetic closure isn’t very strong so the lid came open frequently and I lost one… then the other 😭
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),.,4.0,Product was great but made my phone act up a little bit overall a decent product
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),It's  simple,4.0,I ordered this product from my boys and it's just what they needed
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),Es buen articulo y tiene buen sonido,5.0,Toso esta muy bien funciona en todas partes
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),"Great Bass, and They Don't Cut Out!",5.0,"The media could not be loaded.
                



 Some of these little earbuds PAUSE and cut out when one bud or the other is taken out of commission, put in the charger, etc.  This set PLAYS ON, which, as my daughter informs me is a real coup and a GREAT FEATURE!Come to think of it, even mine do that.  If one dies, then the song or program I'm listening to is INTERRUPTED until I either press PLAY again.  I know what she means.And, these have AMAZINGLY GOOD SOUND for their price point.  STRONG rockin' bass, full midrange and highs.... what's not to love!?All Good!  : - )"
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),Amazing productn,5.0,This is just like the AirPod Pro dupe !
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),Doesn’t work well,2.0,The headphones get disconnected from phone often and they’re also very sensitive to disconnecting if they’re just slightly loose on the ear.
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),The right earbuds,2.0,The right earbuds don’t work!  What can I do ?
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),Great for a gift,5.0,My son loves this earbuds
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),U need this!,5.0,"I have had this item for about a wk. I wanted to get really use to it and see if it was gnna be something a really reach for, and I love it. It charges super quick. There is 3 settings that are 3 OBVIOUS different speeds. I tried to stand it up and have it just blow my face but it kept losing its balance because of the speed, but I stuck it inside the roll of a new paper roll and guess what it's the perfect hack lol I use it for when I wash my face so I'm not using a harsh towel or a towel that possibly harbors some type of bacteria... I use it for skin care, serums, masks, toners, everything it's also soo refreshing while it dries my face... I use it for make up and to dry my setting spray.. it's just a very cute and sturdy product. I'm glad I got a couple extra cause they are good for gifts as well."
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),"Great, but….",4.0,These worked really well but the magnetic closure isn’t very strong so the lid came open frequently and I lost one… then the other 😭
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),.,4.0,Product was great but made my phone act up a little bit overall a decent product
Amazon.com: Customer reviews: Wireless Earbuds Bluetooth Headphones IPX7 Waterproof Bluetooth Earbuds 30H Playtime Headset with Charging Case Wireless Bluetooth Earphones with Mic for iPhone/Samsung/Android (White),It's  simple,4.0,I ordered this product from my boys and it's just what they needed
