product,title,rating,body
"Amazon.com: Customer reviews: Dynasty, Season 5",No male survivors...,5.0,"The ""camp, fun, cheesy"" line of analysis misses the point by a mile. Dynasty is ten years of men getting the crap kicked out of them by the women in their lives.  The men are dominated, fooled, cheated on, lied to, manipulated and exploited out of anything like stable rewarding lives by an endless succession of hotties cashing in on their absolutely nuclear irresistability  .  Supposed paragon of virtue Krystle throws Blake curves, in every sense, while pulling the rug out from under him with a succession of men from her past that she has to appease at Blake's expense.It's a shark tank feeding frenzy of couture and jewels among the most georgeous female cast ever assembled within a single screen project of any kind.  This Spelling guy knew what he was doing."
"Amazon.com: Customer reviews: Dynasty, Season 5",The 'Ultimate' Season of Dynasty,5.0,"It seems strange to me that Season 6 has received so few reviews on here- Season 6 was an ultimate chapter in the overall success of Dynasty. It maintained the Number One spot as the most popular show in the US (along with dozens of other countries) for all 29 episodes in 1985, and every hour is an extravagant and flamboyant example of why the show was constantly over it's budget of one million dollars per episode!  It's ALL here...The glitz, the glamour, the outrageous greed, the appalling power plays, the romance, the intrigue, the betrayal, and all the life and death drama that weaves the twisted and tangled textile where some make 'Love', some make 'War', and the BEST of them make BOTH at exactly the same time. 'Go To Bed' with Dynasty Season 6 and TAKE what the Good Life has to offer!"
"Amazon.com: Customer reviews: Dynasty, Season 5",I love the show but I was very disappointed when I ...,4.0,I love the show but I was very disappointed when I wanted to see the finality chapter 9 and it indicated I had to pay 199 per episode of truly disappointed  I fell it was like a hook you watched 28 episode eight if he so angry when is the end that you want to see they charge you very disappointed other than that I'm her son is a good source of  entertainment but please warn warn us if this going to be a charge or if it's not prime thank you hope you could do something about thisThen rated five stars because I was  unable  to see  season season nine  .
"Amazon.com: Customer reviews: Dynasty, Season 5",A banner season,4.0,"My favorite TV vice from the 80's...probably because it's so preposterous. This was a banner season for the wild and crazy plots, starting with Fallon's supposed 'death,' the emerging character of Diahann Carroll's Dominique, meeting Blake's father, Tom, the birth of Krystina, the introduction of Amanda (Catherine Oxenberg), the controversial kiss between HIV-stricken Rock Hudson as Daniel Reece and Linda Evans' Krystle, and of course, the dominating presence of Joan Collins as Alexis.  The season ends with a new Fallon (Emma Samms), the lead-in to Krystle's imposter, Rita; and the ridiculous Moldavian wedding shooting. Ali McGraw also guest stars as Lady Ashley Mitchell."
"Amazon.com: Customer reviews: Dynasty, Season 5",WOW! I Can't Wait To See Season 6 and The Colbys!,5.0,"INCREDIBLE SEASON! I've read this was the top rated season out of all 9! It's VERY GOOD and the season finale is the best yet! A LOT of very famous guest faces too! Season 6 is when The Colbys come into the show and the other show ""The Colbys"" started for 2 seasons. I already bought that to watch as it aired. The only thing here on Amazon is Episode 27 or 28 the sound is out of sync so it looks like a dubbed foreign film. You'll be so into the story line you won't care for one episode. A MUST SEE!"
"Amazon.com: Customer reviews: Dynasty, Season 5",u will watch it over and over this is my second time watch it again,5.0,I bought the whole SEASON and the quality was excellent i grew up when the show's was on like 13 years old and I live alexis Joan Collins
"Amazon.com: Customer reviews: Dynasty, Season 5",FINALLY SEASON 5,5.0,It is good to finally see Season 5 available! Many viewers feel that this is the season that Dynasty began to slip with high paid celebrities coming aboard and the Royal Wedding Massacre being the straws that broke the Carrington's back. But true Dynasty fans simply refer to it as Classic Dynasty.So pull up a comfy chair and open your favorite can of caviar and indulge in this guilty pleasure once again!!I personally like this season because it brought back both Sammy Jo and Fallon and made them permanent staples in the Carrington household once again.
"Amazon.com: Customer reviews: Dynasty, Season 5",I would recommend Season 5 to fans of old Hollywood glamour,5.0,"In DC under a snow emergency decided to watch season 5. I had previously watched 1-4 in 2015. I did not intend to stream the entire season, but I was hooked! I could justify watching all episodes because of the snow. Brought back delightful memories. I would recommend Season 5 to fans of old Hollywood glamour. I loved; loved; loved it! Onto season 6. Ssshhhh my guilty pleasure. 💋💐🌷"
"Amazon.com: Customer reviews: Dynasty, Season 5",Have  more  products,5.0,None I like every thing  I ordered  from  AmazonThank youCustomer
"Amazon.com: Customer reviews: Dynasty, Season 5",Still a well written series with fun characters.,5.0,"I've watched a marathon of Dynasty. Season 1-7 so far. 5 is one of the best. Season 7 starts to slide downhill fast after the death of Claudia and the bad recasting of Amanda. Amanda should have been a tragic death in the fire after having survived a suicide attempt in season 6. No one cared that Claudia died, aside from Adam with crocodile tears. Anyways enjoy!"
"Amazon.com: Customer reviews: Dynasty, Season 5",No male survivors...,5.0,"The ""camp, fun, cheesy"" line of analysis misses the point by a mile. Dynasty is ten years of men getting the crap kicked out of them by the women in their lives.  The men are dominated, fooled, cheated on, lied to, manipulated and exploited out of anything like stable rewarding lives by an endless succession of hotties cashing in on their absolutely nuclear irresistability  .  Supposed paragon of virtue Krystle throws Blake curves, in every sense, while pulling the rug out from under him with a succession of men from her past that she has to appease at Blake's expense.It's a shark tank feeding frenzy of couture and jewels among the most georgeous female cast ever assembled within a single screen project of any kind.  This Spelling guy knew what he was doing."
"Amazon.com: Customer reviews: Dynasty, Season 5",The 'Ultimate' Season of Dynasty,5.0,"It seems strange to me that Season 6 has received so few reviews on here- Season 6 was an ultimate chapter in the overall success of Dynasty. It maintained the Number One spot as the most popular show in the US (along with dozens of other countries) for all 29 episodes in 1985, and every hour is an extravagant and flamboyant example of why the show was constantly over it's budget of one million dollars per episode!  It's ALL here...The glitz, the glamour, the outrageous greed, the appalling power plays, the romance, the intrigue, the betrayal, and all the life and death drama that weaves the twisted and tangled textile where some make 'Love', some make 'War', and the BEST of them make BOTH at exactly the same time. 'Go To Bed' with Dynasty Season 6 and TAKE what the Good Life has to offer!"
"Amazon.com: Customer reviews: Dynasty, Season 5",I love the show but I was very disappointed when I ...,4.0,I love the show but I was very disappointed when I wanted to see the finality chapter 9 and it indicated I had to pay 199 per episode of truly disappointed  I fell it was like a hook you watched 28 episode eight if he so angry when is the end that you want to see they charge you very disappointed other than that I'm her son is a good source of  entertainment but please warn warn us if this going to be a charge or if it's not prime thank you hope you could do something about thisThen rated five stars because I was  unable  to see  season season nine  .
"Amazon.com: Customer reviews: Dynasty, Season 5",A banner season,4.0,"My favorite TV vice from the 80's...probably because it's so preposterous. This was a banner season for the wild and crazy plots, starting with Fallon's supposed 'death,' the emerging character of Diahann Carroll's Dominique, meeting Blake's father, Tom, the birth of Krystina, the introduction of Amanda (Catherine Oxenberg), the controversial kiss between HIV-stricken Rock Hudson as Daniel Reece and Linda Evans' Krystle, and of course, the dominating presence of Joan Collins as Alexis.  The season ends with a new Fallon (Emma Samms), the lead-in to Krystle's imposter, Rita; and the ridiculous Moldavian wedding shooting. Ali McGraw also guest stars as Lady Ashley Mitchell."
"Amazon.com: Customer reviews: Dynasty, Season 5",WOW! I Can't Wait To See Season 6 and The Colbys!,5.0,"INCREDIBLE SEASON! I've read this was the top rated season out of all 9! It's VERY GOOD and the season finale is the best yet! A LOT of very famous guest faces too! Season 6 is when The Colbys come into the show and the other show ""The Colbys"" started for 2 seasons. I already bought that to watch as it aired. The only thing here on Amazon is Episode 27 or 28 the sound is out of sync so it looks like a dubbed foreign film. You'll be so into the story line you won't care for one episode. A MUST SEE!"
"Amazon.com: Customer reviews: Dynasty, Season 5",u will watch it over and over this is my second time watch it again,5.0,I bought the whole SEASON and the quality was excellent i grew up when the show's was on like 13 years old and I live alexis Joan Collins
"Amazon.com: Customer reviews: Dynasty, Season 5",FINALLY SEASON 5,5.0,It is good to finally see Season 5 available! Many viewers feel that this is the season that Dynasty began to slip with high paid celebrities coming aboard and the Royal Wedding Massacre being the straws that broke the Carrington's back. But true Dynasty fans simply refer to it as Classic Dynasty.So pull up a comfy chair and open your favorite can of caviar and indulge in this guilty pleasure once again!!I personally like this season because it brought back both Sammy Jo and Fallon and made them permanent staples in the Carrington household once again.
"Amazon.com: Customer reviews: Dynasty, Season 5",I would recommend Season 5 to fans of old Hollywood glamour,5.0,"In DC under a snow emergency decided to watch season 5. I had previously watched 1-4 in 2015. I did not intend to stream the entire season, but I was hooked! I could justify watching all episodes because of the snow. Brought back delightful memories. I would recommend Season 5 to fans of old Hollywood glamour. I loved; loved; loved it! Onto season 6. Ssshhhh my guilty pleasure. 💋💐🌷"
"Amazon.com: Customer reviews: Dynasty, Season 5",Have  more  products,5.0,None I like every thing  I ordered  from  AmazonThank youCustomer
