product,title,rating,body
"Amazon.com: Customer reviews: Mini Projector,Hasatek Projector with WiFi and Bluetooth，Projector 4K Support，Portable Projector for Home Theater Outdoor Movie Projector with HDMI USB Interfaces for TV Stick, iOS, Android，PC，Tablet",Just so so projector,3.0,"I only use this ptojector to mirroring screen from my smartphone, it works if both are using the same wifi. But the sound, screen quality doesn't worth a $200 projector. Screen is not clear enough, I always want to adjust the focus to make it more clear but failed, so cannot watch it for too long make me feel dizzy. Also the youtube chanel in it just like a joke, only some build in trailers, cannot search or connect to my account. This one is only for fun, you can use it for short time video not TV or movie."
"Amazon.com: Customer reviews: Mini Projector,Hasatek Projector with WiFi and Bluetooth，Projector 4K Support，Portable Projector for Home Theater Outdoor Movie Projector with HDMI USB Interfaces for TV Stick, iOS, Android，PC，Tablet",Works great,5.0,"This is a great projector. It has great picture and sound.The projector is easy to set up and connect. I was impressed how easy it was. I got this for when it warms up and when a group of us go camping. It will be nice to just sit around, have a few drinks and Netflix and Chill :)  This is also great to set up indoor tents for the kids and have a little movie night."
"Amazon.com: Customer reviews: Mini Projector,Hasatek Projector with WiFi and Bluetooth，Projector 4K Support，Portable Projector for Home Theater Outdoor Movie Projector with HDMI USB Interfaces for TV Stick, iOS, Android，PC，Tablet",Mini Projector,2.0,I really wanted to like this projector and when I ordered it there were no reviews so I took a chance on it.  I was disappointed in this projector and after reading some of the other reviews I can say I had all the problems that everyone else had with it.  First it is not hard to hook to internet so I thought we were off to a good start but that was the extent of the easy tasks on this unit.  I did finally get it to project with my Chromecast attached to it.  Many other reviews said that Apple Airplay only plays sound with no picture and this was my experience too.  I never got my android phone to hook via the Mircast app because they want a credit card on file to use that app and I just was not willing to do that so I can't speak to whether this part worked or not.  The YouTube portion is not good and only plays preloaded trailers.  It did not come with extra cords so I could try to hook directly and use it that way.  If you could find the correct cords to hook your phone directly to it that might make the difference but that was an added cost I didn't pursue and I am not sure I would even know what to buy to get it to work.  The picture quality was ok when I used the Chromecast and the sound was ok as well.  It just didn't wow me like I was hoping and to use it was very cumbersome and awkward.  I gave just 2 stars and I do feel this is probably being generous because I did finally get to see a picture with the added Chromecast.  There are better projector options out there.  This one just missed the mark and for this reason I cannot recommend it.
"Amazon.com: Customer reviews: Mini Projector,Hasatek Projector with WiFi and Bluetooth，Projector 4K Support，Portable Projector for Home Theater Outdoor Movie Projector with HDMI USB Interfaces for TV Stick, iOS, Android，PC，Tablet",Amazing!,5.0,"Easy to use. It took me just a moment to set everything up. The quality is very nice. If you find a good dark spot for it, you will not want to use the TV anymore. Perfect for movie nights or video games. It is not too big so that makes easy to find a place to place it. Not heavy at all. I recommend it for family and friends moments."
"Amazon.com: Customer reviews: Mini Projector,Hasatek Projector with WiFi and Bluetooth，Projector 4K Support，Portable Projector for Home Theater Outdoor Movie Projector with HDMI USB Interfaces for TV Stick, iOS, Android，PC，Tablet",Great picture,5.0,"I had no trouble hooking the HDMI cable to my computer to play movies, the sound was good coming from the projector.  I have not been able to connect to my Wi-Fi.  I am not very Tech savvy so I will definitely need help doing that.  I watched on a blank wall, I plan on getting a projection screen.  I wish there was a way to make it taller, setting on a tabletop really isn’t high enough to view well.  I set it on several books to raise it up.  It does get hot, so be careful moving it around.  Overall it is a great projector, just wish I knew more about technology so I could use all the features.  I am sure with time I will get much better at using it."
"Amazon.com: Customer reviews: Mini Projector,Hasatek Projector with WiFi and Bluetooth，Projector 4K Support，Portable Projector for Home Theater Outdoor Movie Projector with HDMI USB Interfaces for TV Stick, iOS, Android，PC，Tablet",great product,5.0,just what i was looking for
"Amazon.com: Customer reviews: Mini Projector,Hasatek Projector with WiFi and Bluetooth，Projector 4K Support，Portable Projector for Home Theater Outdoor Movie Projector with HDMI USB Interfaces for TV Stick, iOS, Android，PC，Tablet",works great,5.0,works really great and i watch so many movies using this projector and i havent had a problem with it
"Amazon.com: Customer reviews: Mini Projector,Hasatek Projector with WiFi and Bluetooth，Projector 4K Support，Portable Projector for Home Theater Outdoor Movie Projector with HDMI USB Interfaces for TV Stick, iOS, Android，PC，Tablet",So far so bad,1.0,"Only good thing I can say is that it is very easy to connect to wifi and have it appear on airplay as a device.I got this to seamlessly stream videos and movies, and to be able to move the projector inside the house and outside by the pool. My intention was silely for airplay streaming to reduce cables, other devices, cable box, etcUnfortunately,:1) when i use airplay, it only plays audio, and the screen says “airplay, music…” - absolutely no video at all.2) the youtube app keeps on saying server error. I tried searching for videos and that never worked. Only working videos are trending trailers.3) the instructions have no troubleshooting section/page, and little definition of terminologies.4) i can’t find customer support and/or website to get help5) the on-screen instructions are so grammatically incorrect it makes it very hard to understand6) no autofocus, tou have to manually focus the lens much like older camera lenses.7) the on-screen menu and remote buttons is not verry user friendly. For example there’s a “house” button which you would think will bring you to the main menu or home. It doesn’t. It just brings up a screen with options to select inputs/sources. There’s an on-screen button to turn on/off airplay but underneath it there’s also a back button. Both pretty much does the same thing.For $200, do not buy this mini projector. You will just be disappointed. No way this is worth $100 even. Maybe $30-50 IF it actually works"
"Amazon.com: Customer reviews: Mini Projector,Hasatek Projector with WiFi and Bluetooth，Projector 4K Support，Portable Projector for Home Theater Outdoor Movie Projector with HDMI USB Interfaces for TV Stick, iOS, Android，PC，Tablet",Just so so projector,3.0,"I only use this ptojector to mirroring screen from my smartphone, it works if both are using the same wifi. But the sound, screen quality doesn't worth a $200 projector. Screen is not clear enough, I always want to adjust the focus to make it more clear but failed, so cannot watch it for too long make me feel dizzy. Also the youtube chanel in it just like a joke, only some build in trailers, cannot search or connect to my account. This one is only for fun, you can use it for short time video not TV or movie."
"Amazon.com: Customer reviews: Mini Projector,Hasatek Projector with WiFi and Bluetooth，Projector 4K Support，Portable Projector for Home Theater Outdoor Movie Projector with HDMI USB Interfaces for TV Stick, iOS, Android，PC，Tablet",Works great,5.0,"This is a great projector. It has great picture and sound.The projector is easy to set up and connect. I was impressed how easy it was. I got this for when it warms up and when a group of us go camping. It will be nice to just sit around, have a few drinks and Netflix and Chill :)  This is also great to set up indoor tents for the kids and have a little movie night."
